Year	Langs	System	Human	BLEU_m	BLEU	MacroF1	MicroF1	MacroBLEUF	MicroBLEUF	CHRF1	MacroF3	MicroF3	CHRF3
2018	zh-en	online-A.0	-0.061	0.2404	21.8	27.9	50.8	23.9	46.8	0.54	28.7	50.5	0.52	
2018	zh-en	online-B.0	0.111	0.3125	29.3	32.8	55.7	28.0	49.6	0.58	33.5	56.1	0.58	
2018	zh-en	Tencent-ensemble-system.5742	0.099	0.3150	29.3	34.3	56.3	29.2	50.0	0.58	35.3	57.0	0.57	
2018	zh-en	online-Y.0	-0.005	0.2643	24.4	27.7	51.9	23.8	46.9	0.55	28.4	52.0	0.54	
2018	zh-en	UCAM.5586	0.109	0.2982	27.7	32.4	55.1	27.7	49.5	0.57	33.1	55.2	0.56	
2018	zh-en	online-G.0	-0.327	0.1697	13.8	22.8	44.5	19.3	41.8	0.49	23.8	45.2	0.49	
2018	zh-en	online-F.0	-0.377	0.1198	10.6	19.6	40.8	16.4	39.6	0.45	20.7	41.2	0.45	
2018	zh-en	uedin.5652	-0.017	0.2597	24.0	29.4	52.2	26.0	49.2	0.54	29.7	50.7	0.51	
2018	zh-en	UMD.5681	0.078	0.2630	24.4	29.5	52.6	25.6	48.1	0.55	30.2	52.2	0.53	
2018	zh-en	Unisound.5712	0.108	0.3075	28.4	32.7	55.4	28.3	50.0	0.58	33.4	55.4	0.56	
2018	zh-en	Unisound.5668	0.094	0.3005	27.7	32.5	55.3	28.0	50.0	0.57	33.2	54.7	0.56	
